la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000005,Clackmannanshire,1,2019,-3.775578,56.12797325,1,1,0,1,0,30,1,6,6,9
S12000005,Clackmannanshire,1,2020,-3.775578,56.12797325,0,0,0,0,0,30,1,6,6,9
S12000005,Clackmannanshire,1,2021,-3.775578,56.12797325,1,1,0,0,1,30,1,6,6,9
S12000005,Clackmannanshire,1,2022,-3.775578,56.12797325,1,1,0,0,1,30,1,6,6,9
S12000005,Clackmannanshire,1,2023,-3.775578,56.12797325,1,1,0,1,0,30,1,6,6,9
S12000005,Clackmannanshire,1,2024,-3.775578,56.12797325,0,0,0,0,0,30,1,6,6,9
S12000005,Clackmannanshire,2,2019,-3.7891055,56.129886,2,2,0,0,2,30,1,4,1,2
S12000005,Clackmannanshire,2,2020,-3.7891055,56.129886,0,0,0,0,0,30,1,4,1,2
S12000005,Clackmannanshire,2,2021,-3.7891055,56.129886,0,0,0,0,0,30,1,4,1,2
S12000005,Clackmannanshire,2,2022,-3.7891055,56.129886,0,0,0,0,0,30,1,4,1,2
S12000005,Clackmannanshire,2,2023,-3.7891055,56.129886,0,0,0,0,0,30,1,4,1,2
S12000005,Clackmannanshire,2,2024,-3.7891055,56.129886,0,0,0,0,0,30,1,4,1,2
S12000005,Clackmannanshire,3,2019,-3.7611115,56.153255,1,1,1,0,0,60,2,3,6,0
S12000005,Clackmannanshire,3,2020,-3.7611115,56.153255,0,0,0,0,0,60,2,3,6,0
S12000005,Clackmannanshire,3,2021,-3.7611115,56.153255,1,2,0,0,1,60,2,3,6,0
S12000005,Clackmannanshire,3,2022,-3.7611115,56.153255,0,0,0,0,0,60,2,3,6,0
S12000005,Clackmannanshire,3,2023,-3.7611115,56.153255,0,0,0,0,0,60,2,3,6,0
S12000005,Clackmannanshire,3,2024,-3.7611115,56.153255,1,1,0,0,0,60,2,3,6,0
S12000005,Clackmannanshire,3,2025,-3.7611115,56.153255,1,1,0,0,0,60,2,3,6,0
S12000005,Clackmannanshire,4,2019,-3.722602,56.154614,1,3,0,1,0,60,2,3,6,0
