la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000064,Westmorland and Furness,1,2019,-2.620101,54.250598,0,0,0,0,0,60,2,6,6,0
E06000064,Westmorland and Furness,1,2020,-2.620101,54.250598,0,0,0,0,0,60,2,6,6,0
E06000064,Westmorland and Furness,1,2021,-2.620101,54.250598,0,0,0,0,0,60,2,6,6,0
E06000064,Westmorland and Furness,1,2022,-2.620101,54.250598,0,0,0,0,0,60,2,6,6,0
E06000064,Westmorland and Furness,1,2023,-2.620101,54.250598,1,1,0,1,0,60,2,6,6,0
E06000064,Westmorland and Furness,1,2024,-2.620101,54.250598,0,0,0,0,0,60,2,6,6,0
E06000064,Westmorland and Furness,2,2019,-2.7704605,54.650705,0,0,0,0,0,70,2,3,3,0
E06000064,Westmorland and Furness,2,2020,-2.7704605,54.650705,0,0,0,0,0,70,2,3,3,0
E06000064,Westmorland and Furness,2,2021,-2.7704605,54.650705,0,0,0,0,0,70,2,3,3,0
E06000064,Westmorland and Furness,2,2022,-2.7704605,54.650705,0,0,0,0,0,70,2,3,3,0
E06000064,Westmorland and Furness,2,2023,-2.7704605,54.650705,2,2,0,0,2,70,2,3,3,0
E06000064,Westmorland and Furness,2,2024,-2.7704605,54.650705,0,0,0,0,0,70,2,3,3,0
E06000064,Westmorland and Furness,3,2019,-2.791695,54.640826,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,3,2020,-2.791695,54.640826,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,3,2021,-2.791695,54.640826,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,3,2022,-2.791695,54.640826,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,3,2023,-2.791695,54.640826,1,1,0,0,1,60,2,3,6,0
E06000064,Westmorland and Furness,3,2024,-2.791695,54.640826,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,4,2019,-2.935349,54.574124,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,4,2020,-2.935349,54.574124,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,4,2021,-2.935349,54.574124,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,4,2022,-2.935349,54.574124,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,4,2023,-2.935349,54.574124,1,1,0,1,0,60,2,3,6,0
E06000064,Westmorland and Furness,4,2024,-2.935349,54.574124,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,5,2019,-3.180247,54.156705,0,0,0,0,0,30,2,6,6,3
E06000064,Westmorland and Furness,5,2020,-3.180247,54.156705,0,0,0,0,0,30,2,6,6,3
E06000064,Westmorland and Furness,5,2021,-3.180247,54.156705,0,0,0,0,0,30,2,6,6,3
E06000064,Westmorland and Furness,5,2022,-3.180247,54.156705,0,0,0,0,0,30,2,6,6,3
E06000064,Westmorland and Furness,5,2023,-3.180247,54.156705,3,3,0,1,2,30,2,6,6,3
E06000064,Westmorland and Furness,5,2024,-3.180247,54.156705,0,0,0,0,0,30,2,6,6,3
E06000064,Westmorland and Furness,6,2019,-2.595143,54.365447,0,0,0,0,0,70,2,1,3,0
E06000064,Westmorland and Furness,6,2020,-2.595143,54.365447,0,0,0,0,0,70,2,1,3,0
E06000064,Westmorland and Furness,6,2021,-2.595143,54.365447,0,0,0,0,0,70,2,1,3,0
E06000064,Westmorland and Furness,6,2022,-2.595143,54.365447,0,0,0,0,0,70,2,1,3,0
E06000064,Westmorland and Furness,6,2023,-2.595143,54.365447,1,3,0,0,1,70,2,1,3,0
E06000064,Westmorland and Furness,6,2024,-2.595143,54.365447,0,0,0,0,0,70,2,1,3,0
E06000064,Westmorland and Furness,7,2019,-2.705505,54.601862,0,0,0,0,0,70,2,1,3,0
E06000064,Westmorland and Furness,7,2020,-2.705505,54.601862,0,0,0,0,0,70,2,1,3,0
E06000064,Westmorland and Furness,7,2021,-2.705505,54.601862,0,0,0,0,0,70,2,1,3,0
E06000064,Westmorland and Furness,7,2022,-2.705505,54.601862,0,0,0,0,0,70,2,1,3,0
E06000064,Westmorland and Furness,7,2023,-2.705505,54.601862,1,1,0,1,0,70,2,1,3,0
E06000064,Westmorland and Furness,7,2024,-2.705505,54.601862,0,0,0,0,0,70,2,1,3,0
E06000064,Westmorland and Furness,8,2019,-2.907238,54.223703,0,0,0,0,0,70,2,3,3,0
E06000064,Westmorland and Furness,8,2020,-2.907238,54.223703,0,0,0,0,0,70,2,3,3,0
E06000064,Westmorland and Furness,8,2021,-2.907238,54.223703,0,0,0,0,0,70,2,3,3,0
E06000064,Westmorland and Furness,8,2022,-2.907238,54.223703,0,0,0,0,0,70,2,3,3,0
E06000064,Westmorland and Furness,8,2023,-2.907238,54.223703,1,2,0,1,0,70,2,3,3,0
E06000064,Westmorland and Furness,8,2024,-2.907238,54.223703,0,0,0,0,0,70,2,3,3,0
E06000064,Westmorland and Furness,9,2019,-3.185929,54.149579,0,0,0,0,0,30,2,6,6,3
E06000064,Westmorland and Furness,9,2020,-3.185929,54.149579,0,0,0,0,0,30,2,6,6,3
E06000064,Westmorland and Furness,9,2021,-3.185929,54.149579,0,0,0,0,0,30,2,6,6,3
E06000064,Westmorland and Furness,9,2022,-3.185929,54.149579,0,0,0,0,0,30,2,6,6,3
E06000064,Westmorland and Furness,9,2023,-3.185929,54.149579,3,4,0,0,3,30,2,6,6,3
E06000064,Westmorland and Furness,9,2024,-3.185929,54.149579,0,0,0,0,0,30,2,6,6,3
E06000064,Westmorland and Furness,10,2019,-2.899376,54.641908,0,0,0,0,0,60,2,4,6,3
E06000064,Westmorland and Furness,10,2020,-2.899376,54.641908,0,0,0,0,0,60,2,4,6,3
E06000064,Westmorland and Furness,10,2021,-2.899376,54.641908,0,0,0,0,0,60,2,4,6,3
E06000064,Westmorland and Furness,10,2022,-2.899376,54.641908,0,0,0,0,0,60,2,4,6,3
E06000064,Westmorland and Furness,10,2023,-2.899376,54.641908,1,3,0,1,0,60,2,4,6,3
E06000064,Westmorland and Furness,10,2024,-2.899376,54.641908,0,0,0,0,0,60,2,4,6,3
E06000064,Westmorland and Furness,11,2019,-2.526113,54.592305,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,11,2020,-2.526113,54.592305,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,11,2021,-2.526113,54.592305,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,11,2022,-2.526113,54.592305,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,11,2023,-2.526113,54.592305,1,1,0,1,0,60,2,3,6,0
E06000064,Westmorland and Furness,11,2024,-2.526113,54.592305,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,12,2019,-3.204312,54.11173675,0,0,0,0,0,30,1,6,6,0
E06000064,Westmorland and Furness,12,2020,-3.204312,54.11173675,0,0,0,0,0,30,1,6,6,0
E06000064,Westmorland and Furness,12,2021,-3.204312,54.11173675,0,0,0,0,0,30,1,6,6,0
E06000064,Westmorland and Furness,12,2022,-3.204312,54.11173675,0,0,0,0,0,30,1,6,6,0
E06000064,Westmorland and Furness,12,2023,-3.204312,54.11173675,8,9,0,1,7,30,1,6,6,0
E06000064,Westmorland and Furness,12,2024,-3.204312,54.11173675,0,0,0,0,0,30,1,6,6,0
E06000064,Westmorland and Furness,13,2019,-2.615019,54.459525,0,0,0,0,0,70,2,1,3,0
E06000064,Westmorland and Furness,13,2020,-2.615019,54.459525,0,0,0,0,0,70,2,1,3,0
E06000064,Westmorland and Furness,13,2021,-2.615019,54.459525,0,0,0,0,0,70,2,1,3,0
E06000064,Westmorland and Furness,13,2022,-2.615019,54.459525,0,0,0,0,0,70,2,1,3,0
E06000064,Westmorland and Furness,13,2023,-2.615019,54.459525,1,1,0,0,1,70,2,1,3,0
E06000064,Westmorland and Furness,13,2024,-2.615019,54.459525,0,0,0,0,0,70,2,1,3,0
E06000064,Westmorland and Furness,14,2019,-3.118105,54.244526,0,0,0,0,0,60,2,4,6,0
E06000064,Westmorland and Furness,14,2020,-3.118105,54.244526,0,0,0,0,0,60,2,4,6,0
E06000064,Westmorland and Furness,14,2021,-3.118105,54.244526,0,0,0,0,0,60,2,4,6,0
E06000064,Westmorland and Furness,14,2022,-3.118105,54.244526,0,0,0,0,0,60,2,4,6,0
E06000064,Westmorland and Furness,14,2023,-3.118105,54.244526,1,1,0,0,1,60,2,4,6,0
E06000064,Westmorland and Furness,14,2024,-3.118105,54.244526,0,0,0,0,0,60,2,4,6,0
E06000064,Westmorland and Furness,15,2019,-2.458346,54.787898,0,0,0,0,0,60,2,6,6,0
E06000064,Westmorland and Furness,15,2020,-2.458346,54.787898,0,0,0,0,0,60,2,6,6,0
E06000064,Westmorland and Furness,15,2021,-2.458346,54.787898,0,0,0,0,0,60,2,6,6,0
E06000064,Westmorland and Furness,15,2022,-2.458346,54.787898,0,0,0,0,0,60,2,6,6,0
E06000064,Westmorland and Furness,15,2023,-2.458346,54.787898,1,1,0,0,1,60,2,6,6,0
E06000064,Westmorland and Furness,15,2024,-2.458346,54.787898,0,0,0,0,0,60,2,6,6,0
E06000064,Westmorland and Furness,16,2019,-3.145085,54.125407,0,0,0,0,0,30,2,6,6,0
E06000064,Westmorland and Furness,16,2020,-3.145085,54.125407,0,0,0,0,0,30,2,6,6,0
E06000064,Westmorland and Furness,16,2021,-3.145085,54.125407,0,0,0,0,0,30,2,6,6,0
E06000064,Westmorland and Furness,16,2022,-3.145085,54.125407,0,0,0,0,0,30,2,6,6,0
E06000064,Westmorland and Furness,16,2023,-3.145085,54.125407,1,1,0,0,1,30,2,6,6,0
E06000064,Westmorland and Furness,16,2024,-3.145085,54.125407,0,0,0,0,0,30,2,6,6,0
E06000064,Westmorland and Furness,17,2019,-2.777564,54.65625,0,0,0,0,0,50,2,6,6,0
E06000064,Westmorland and Furness,17,2020,-2.777564,54.65625,0,0,0,0,0,50,2,6,6,0
E06000064,Westmorland and Furness,17,2021,-2.777564,54.65625,0,0,0,0,0,50,2,6,6,0
E06000064,Westmorland and Furness,17,2022,-2.777564,54.65625,0,0,0,0,0,50,2,6,6,0
E06000064,Westmorland and Furness,17,2023,-2.777564,54.65625,1,1,0,0,1,50,2,6,6,0
E06000064,Westmorland and Furness,17,2024,-2.777564,54.65625,0,0,0,0,0,50,2,6,6,0
E06000064,Westmorland and Furness,18,2019,-2.70828,54.315406,0,0,0,0,0,60,2,3,6,3
E06000064,Westmorland and Furness,18,2020,-2.70828,54.315406,0,0,0,0,0,60,2,3,6,3
E06000064,Westmorland and Furness,18,2021,-2.70828,54.315406,0,0,0,0,0,60,2,3,6,3
E06000064,Westmorland and Furness,18,2022,-2.70828,54.315406,0,0,0,0,0,60,2,3,6,3
E06000064,Westmorland and Furness,18,2023,-2.70828,54.315406,2,2,0,1,1,60,2,3,6,3
E06000064,Westmorland and Furness,18,2024,-2.70828,54.315406,0,0,0,0,0,60,2,3,6,3
E06000064,Westmorland and Furness,19,2019,-2.7367755,54.297094,0,0,0,0,0,30,1,6,6,0
E06000064,Westmorland and Furness,19,2020,-2.7367755,54.297094,0,0,0,0,0,30,1,6,6,0
E06000064,Westmorland and Furness,19,2021,-2.7367755,54.297094,0,0,0,0,0,30,1,6,6,0
E06000064,Westmorland and Furness,19,2022,-2.7367755,54.297094,0,0,0,0,0,30,1,6,6,0
E06000064,Westmorland and Furness,19,2023,-2.7367755,54.297094,2,2,0,0,2,30,1,6,6,0
E06000064,Westmorland and Furness,19,2024,-2.7367755,54.297094,0,0,0,0,0,30,1,6,6,0
E06000064,Westmorland and Furness,20,2019,-2.7505715,54.6651685,0,0,0,0,0,30,1,6,6,9
E06000064,Westmorland and Furness,20,2020,-2.7505715,54.6651685,0,0,0,0,0,30,1,6,6,9
E06000064,Westmorland and Furness,20,2021,-2.7505715,54.6651685,0,0,0,0,0,30,1,6,6,9
E06000064,Westmorland and Furness,20,2022,-2.7505715,54.6651685,0,0,0,0,0,30,1,6,6,9
E06000064,Westmorland and Furness,20,2023,-2.7505715,54.6651685,4,4,0,1,3,30,1,6,6,9
E06000064,Westmorland and Furness,20,2024,-2.7505715,54.6651685,0,0,0,0,0,30,1,6,6,9
E06000064,Westmorland and Furness,21,2019,-2.9904915,54.2018135,0,0,0,0,0,60,2,4,6,0
E06000064,Westmorland and Furness,21,2020,-2.9904915,54.2018135,0,0,0,0,0,60,2,4,6,0
E06000064,Westmorland and Furness,21,2021,-2.9904915,54.2018135,0,0,0,0,0,60,2,4,6,0
E06000064,Westmorland and Furness,21,2022,-2.9904915,54.2018135,0,0,0,0,0,60,2,4,6,0
E06000064,Westmorland and Furness,21,2023,-2.9904915,54.2018135,2,3,0,0,2,60,2,4,6,0
E06000064,Westmorland and Furness,21,2024,-2.9904915,54.2018135,0,0,0,0,0,60,2,4,6,0
E06000064,Westmorland and Furness,22,2019,-2.895213,54.205988,0,0,0,0,0,60,2,4,6,3
E06000064,Westmorland and Furness,22,2020,-2.895213,54.205988,0,0,0,0,0,60,2,4,6,3
E06000064,Westmorland and Furness,22,2021,-2.895213,54.205988,0,0,0,0,0,60,2,4,6,3
E06000064,Westmorland and Furness,22,2022,-2.895213,54.205988,0,0,0,0,0,60,2,4,6,3
E06000064,Westmorland and Furness,22,2023,-2.895213,54.205988,1,1,0,0,1,60,2,4,6,3
E06000064,Westmorland and Furness,22,2024,-2.895213,54.205988,0,0,0,0,0,60,2,4,6,3
E06000064,Westmorland and Furness,23,2019,-3.0938428,54.1950116,0,0,0,0,0,30,1,3,6,1
E06000064,Westmorland and Furness,23,2020,-3.0938428,54.1950116,0,0,0,0,0,30,1,3,6,1
E06000064,Westmorland and Furness,23,2021,-3.0938428,54.1950116,0,0,0,0,0,30,1,3,6,1
E06000064,Westmorland and Furness,23,2022,-3.0938428,54.1950116,0,0,0,0,0,30,1,3,6,1
E06000064,Westmorland and Furness,23,2023,-3.0938428,54.1950116,5,5,0,1,4,30,1,3,6,1
E06000064,Westmorland and Furness,23,2024,-3.0938428,54.1950116,0,0,0,0,0,30,1,3,6,1
E06000064,Westmorland and Furness,24,2019,-2.456529,54.370329,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,24,2020,-2.456529,54.370329,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,24,2021,-2.456529,54.370329,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,24,2022,-2.456529,54.370329,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,24,2023,-2.456529,54.370329,1,1,0,0,1,60,2,3,6,0
E06000064,Westmorland and Furness,24,2024,-2.456529,54.370329,0,0,0,0,0,60,2,3,6,0
E06000064,Westmorland and Furness,25,2019,-2.745843,54.33003566666667,0,0,0,0,0,30,1,6,6,9
E06000064,Westmorland and Furness,25,2020,-2.745843,54.33003566666667,0,0,0,0,0,30,1,6,6,9
E06000064,Westmorland and Furness,25,2021,-2.745843,54.33003566666667,0,0,0,0,0,30,1,6,6,9
E06000064,Westmorland and Furness,25,2022,-2.745843,54.33003566666667,0,0,0,0,0,30,1,6,6,9
E06000064,Westmorland and Furness,25,2023,-2.745843,54.33003566666667,3,4,0,0,3,30,1,6,6,9
E06000064,Westmorland and Furness,25,2024,-2.745843,54.33003566666667,0,0,0,0,0,30,1,6,6,9
E06000064,Westmorland and Furness,26,2019,-2.826638,54.660822,0,0,0,0,0,30,2,6,6,3
E06000064,Westmorland and Furness,26,2020,-2.826638,54.660822,0,0,0,0,0,30,2,6,6,3
E06000064,Westmorland and Furness,26,2021,-2.826638,54.660822,0,0,0,0,0,30,2,6,6,3
E06000064,Westmorland and Furness,26,2022,-2.826638,54.660822,0,0,0,0,0,30,2,6,6,3
E06000064,Westmorland and Furness,26,2023,-2.826638,54.660822,1,1,0,0,1,30,2,6,6,3
