la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000014,Falkirk,1,2019,-3.9144385,55.9972585,2,2,0,0,2,30,1,3,6,0
S12000014,Falkirk,1,2020,-3.9144385,55.9972585,0,0,0,0,0,30,1,3,6,0
S12000014,Falkirk,1,2021,-3.9144385,55.9972585,0,0,0,0,0,30,1,3,6,0
S12000014,Falkirk,1,2022,-3.9144385,55.9972585,0,0,0,0,0,30,1,3,6,0
S12000014,Falkirk,1,2023,-3.9144385,55.9972585,0,0,0,0,0,30,1,3,6,0
S12000014,Falkirk,1,2024,-3.9144385,55.9972585,0,0,0,0,0,30,1,3,6,0
S12000014,Falkirk,2,2019,-3.737269875,56.06256925,2,3,0,0,2,70,2,3,3,1
S12000014,Falkirk,2,2020,-3.737269875,56.06256925,2,2,0,0,2,70,2,3,3,1
S12000014,Falkirk,2,2021,-3.737269875,56.06256925,1,1,0,1,0,70,2,3,3,1
S12000014,Falkirk,2,2022,-3.737269875,56.06256925,2,3,0,1,1,70,2,3,3,1
S12000014,Falkirk,2,2023,-3.737269875,56.06256925,1,1,0,0,1,70,2,3,3,1
S12000014,Falkirk,2,2024,-3.737269875,56.06256925,0,0,0,0,0,70,2,3,3,1
S12000014,Falkirk,3,2019,-3.740736,55.989793500000005,1,2,0,0,1,30,1,6,6,0
S12000014,Falkirk,3,2020,-3.740736,55.989793500000005,1,1,0,1,0,30,1,6,6,0
S12000014,Falkirk,3,2021,-3.740736,55.989793500000005,0,0,0,0,0,30,1,6,6,0
S12000014,Falkirk,3,2022,-3.740736,55.989793500000005,0,0,0,0,0,30,1,6,6,0
S12000014,Falkirk,3,2023,-3.740736,55.989793500000005,0,0,0,0,0,30,1,6,6,0
S12000014,Falkirk,3,2024,-3.740736,55.989793500000005,0,0,0,0,0,30,1,6,6,0
S12000014,Falkirk,4,2019,-3.8440415,56.02984275,2,2,0,0,2,40,1,3,7,0
S12000014,Falkirk,4,2020,-3.8440415,56.02984275,1,1,0,0,1,40,1,3,7,0
S12000014,Falkirk,4,2021,-3.8440415,56.02984275,0,0,0,0,0,40,1,3,7,0
S12000014,Falkirk,4,2022,-3.8440415,56.02984275,0,0,0,0,0,40,1,3,7,0
S12000014,Falkirk,4,2023,-3.8440415,56.02984275,1,1,0,0,1,40,1,3,7,0
S12000014,Falkirk,4,2024,-3.8440415,56.02984275,0,0,0,0,0,40,1,3,7,0
S12000014,Falkirk,5,2019,-3.7062803333333334,56.00054333333333,1,1,0,0,1,60,2,3,6,3
S12000014,Falkirk,5,2020,-3.7062803333333334,56.00054333333333,1,2,0,0,1,60,2,3,6,3
S12000014,Falkirk,5,2021,-3.7062803333333334,56.00054333333333,1,1,0,1,0,60,2,3,6,3
S12000014,Falkirk,5,2022,-3.7062803333333334,56.00054333333333,0,0,0,0,0,60,2,3,6,3
S12000014,Falkirk,5,2023,-3.7062803333333334,56.00054333333333,3,3,0,1,2,60,2,3,6,3
S12000014,Falkirk,5,2024,-3.7062803333333334,56.00054333333333,0,0,0,0,0,60,2,3,6,3
S12000014,Falkirk,6,2019,-3.8243595,56.002553500000005,1,1,0,1,0,30,1,6,6,6
S12000014,Falkirk,6,2020,-3.8243595,56.002553500000005,0,0,0,0,0,30,1,6,6,6
S12000014,Falkirk,6,2021,-3.8243595,56.002553500000005,1,1,0,0,1,30,1,6,6,6
S12000014,Falkirk,6,2022,-3.8243595,56.002553500000005,1,1,0,0,1,30,1,6,6,6
S12000014,Falkirk,6,2023,-3.8243595,56.002553500000005,1,1,0,0,1,30,1,6,6,6
S12000014,Falkirk,6,2024,-3.8243595,56.002553500000005,0,0,0,0,0,30,1,6,6,6
S12000014,Falkirk,7,2019,-3.8596798,56.0117312,2,3,1,1,0,60,2,3,6,0
S12000014,Falkirk,7,2020,-3.8596798,56.0117312,1,1,0,0,1,60,2,3,6,0
S12000014,Falkirk,7,2021,-3.8596798,56.0117312,2,3,0,0,2,60,2,3,6,0
S12000014,Falkirk,7,2022,-3.8596798,56.0117312,0,0,0,0,0,60,2,3,6,0
S12000014,Falkirk,7,2023,-3.8596798,56.0117312,0,0,0,0,0,60,2,3,6,0
S12000014,Falkirk,7,2024,-3.8596798,56.0117312,0,0,0,0,0,60,2,3,6,0
S12000014,Falkirk,8,2019,-3.9445291,55.9913882,1,1,0,0,1,70,1,1,3,0
S12000014,Falkirk,8,2020,-3.9445291,55.9913882,0,0,0,0,0,70,1,1,3,0
S12000014,Falkirk,8,2021,-3.9445291,55.9913882,3,5,0,2,1,70,1,1,3,0
