la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000020,Telford and Wrekin,1,2019,-2.4668492142857144,52.67762928571429,1,2,0,0,1,40,2,4,6,1
E06000020,Telford and Wrekin,1,2020,-2.4668492142857144,52.67762928571429,2,2,0,0,2,40,2,4,6,1
E06000020,Telford and Wrekin,1,2021,-2.4668492142857144,52.67762928571429,4,4,0,1,3,40,2,4,6,1
E06000020,Telford and Wrekin,1,2022,-2.4668492142857144,52.67762928571429,1,2,1,0,0,40,2,4,6,1
E06000020,Telford and Wrekin,1,2023,-2.4668492142857144,52.67762928571429,1,1,0,1,0,40,2,4,6,1
E06000020,Telford and Wrekin,1,2024,-2.4668492142857144,52.67762928571429,3,3,0,0,0,40,2,4,6,1
E06000020,Telford and Wrekin,1,2025,-2.4668492142857144,52.67762928571429,2,3,0,0,0,40,2,4,6,1
E06000020,Telford and Wrekin,2,2019,-2.4433322222222222,52.67842811111111,3,5,0,0,3,30,1,6,6,0
E06000020,Telford and Wrekin,2,2020,-2.4433322222222222,52.67842811111111,1,1,0,0,1,30,1,6,6,0
E06000020,Telford and Wrekin,2,2021,-2.4433322222222222,52.67842811111111,0,0,0,0,0,30,1,6,6,0
E06000020,Telford and Wrekin,2,2022,-2.4433322222222222,52.67842811111111,2,3,0,1,1,30,1,6,6,0
E06000020,Telford and Wrekin,2,2023,-2.4433322222222222,52.67842811111111,1,2,0,0,1,30,1,6,6,0
E06000020,Telford and Wrekin,2,2024,-2.4433322222222222,52.67842811111111,1,1,0,0,0,30,1,6,6,0
E06000020,Telford and Wrekin,2,2025,-2.4433322222222222,52.67842811111111,1,1,0,0,0,30,1,6,6,0
E06000020,Telford and Wrekin,3,2019,-2.434389583333333,52.72604558333333,4,5,0,0,4,30,1,3,6,0
E06000020,Telford and Wrekin,3,2020,-2.434389583333333,52.72604558333333,2,2,0,2,0,30,1,3,6,0
E06000020,Telford and Wrekin,3,2021,-2.434389583333333,52.72604558333333,2,2,0,1,1,30,1,3,6,0
E06000020,Telford and Wrekin,3,2022,-2.434389583333333,52.72604558333333,1,1,0,0,1,30,1,3,6,0
E06000020,Telford and Wrekin,3,2023,-2.434389583333333,52.72604558333333,1,1,0,0,1,30,1,3,6,0
E06000020,Telford and Wrekin,3,2024,-2.434389583333333,52.72604558333333,0,0,0,0,0,30,1,3,6,0
E06000020,Telford and Wrekin,3,2025,-2.434389583333333,52.72604558333333,2,2,0,0,0,30,1,3,6,0
E06000020,Telford and Wrekin,4,2019,-2.5326082,52.691401,3,4,0,0,3,30,1,4,6,0
E06000020,Telford and Wrekin,4,2020,-2.5326082,52.691401,0,0,0,0,0,30,1,4,6,0
E06000020,Telford and Wrekin,4,2021,-2.5326082,52.691401,0,0,0,0,0,30,1,4,6,0
E06000020,Telford and Wrekin,4,2022,-2.5326082,52.691401,2,2,0,0,2,30,1,4,6,0
E06000020,Telford and Wrekin,4,2023,-2.5326082,52.691401,0,0,0,0,0,30,1,4,6,0
E06000020,Telford and Wrekin,4,2024,-2.5326082,52.691401,0,0,0,0,0,30,1,4,6,0
E06000020,Telford and Wrekin,5,2019,-2.447187428571429,52.68204228571429,1,1,0,0,1,30,2,3,3,0
E06000020,Telford and Wrekin,5,2020,-2.447187428571429,52.68204228571429,0,0,0,0,0,30,2,3,3,0
E06000020,Telford and Wrekin,5,2021,-2.447187428571429,52.68204228571429,2,3,0,0,2,30,2,3,3,0
E06000020,Telford and Wrekin,5,2022,-2.447187428571429,52.68204228571429,1,2,0,0,1,30,2,3,3,0
E06000020,Telford and Wrekin,5,2023,-2.447187428571429,52.68204228571429,1,1,0,0,1,30,2,3,3,0
E06000020,Telford and Wrekin,5,2024,-2.447187428571429,52.68204228571429,2,4,0,0,0,30,2,3,3,0
