la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000037,West Berkshire,1,2019,-1.301631,51.4078536,1,1,0,0,1,30,1,6,6,0
E06000037,West Berkshire,1,2020,-1.301631,51.4078536,0,0,0,0,0,30,1,6,6,0
E06000037,West Berkshire,1,2021,-1.301631,51.4078536,1,1,0,0,1,30,1,6,6,0
E06000037,West Berkshire,1,2022,-1.301631,51.4078536,0,0,0,0,0,30,1,6,6,0
E06000037,West Berkshire,1,2023,-1.301631,51.4078536,3,3,0,0,3,30,1,6,6,0
E06000037,West Berkshire,1,2024,-1.301631,51.4078536,0,0,0,0,0,30,1,6,6,0
E06000037,West Berkshire,2,2019,-1.152404,51.359817666666665,1,3,0,0,1,40,2,3,6,3
E06000037,West Berkshire,2,2020,-1.152404,51.359817666666665,0,0,0,0,0,40,2,3,6,3
E06000037,West Berkshire,2,2021,-1.152404,51.359817666666665,0,0,0,0,0,40,2,3,6,3
E06000037,West Berkshire,2,2022,-1.152404,51.359817666666665,0,0,0,0,0,40,2,3,6,3
E06000037,West Berkshire,2,2023,-1.152404,51.359817666666665,2,3,0,1,1,40,2,3,6,3
E06000037,West Berkshire,2,2024,-1.152404,51.359817666666665,0,0,0,0,0,40,2,3,6,3
E06000037,West Berkshire,3,2019,-1.070602,51.464951,1,1,0,0,1,30,2,6,6,0
E06000037,West Berkshire,3,2020,-1.070602,51.464951,0,0,0,0,0,30,2,6,6,0
E06000037,West Berkshire,3,2021,-1.070602,51.464951,0,0,0,0,0,30,2,6,6,0
E06000037,West Berkshire,3,2022,-1.070602,51.464951,0,0,0,0,0,30,2,6,6,0
E06000037,West Berkshire,3,2023,-1.070602,51.464951,0,0,0,0,0,30,2,6,6,0
E06000037,West Berkshire,3,2024,-1.070602,51.464951,0,0,0,0,0,30,2,6,6,0
E06000037,West Berkshire,4,2019,-1.0587765,51.39102775,1,2,0,0,1,60,2,6,6,3
E06000037,West Berkshire,4,2020,-1.0587765,51.39102775,3,3,0,0,3,60,2,6,6,3
E06000037,West Berkshire,4,2021,-1.0587765,51.39102775,0,0,0,0,0,60,2,6,6,3
E06000037,West Berkshire,4,2022,-1.0587765,51.39102775,1,2,0,0,1,60,2,6,6,3
E06000037,West Berkshire,4,2023,-1.0587765,51.39102775,3,3,0,1,2,60,2,6,6,3
E06000037,West Berkshire,4,2024,-1.0587765,51.39102775,0,0,0,0,0,60,2,6,6,3
E06000037,West Berkshire,5,2019,-1.310299875,51.454457625,1,1,1,0,0,70,2,3,7,1
E06000037,West Berkshire,5,2020,-1.310299875,51.454457625,1,1,0,0,1,70,2,3,7,1
E06000037,West Berkshire,5,2021,-1.310299875,51.454457625,3,3,1,0,2,70,2,3,7,1
E06000037,West Berkshire,5,2022,-1.310299875,51.454457625,2,2,0,0,2,70,2,3,7,1
E06000037,West Berkshire,5,2023,-1.310299875,51.454457625,1,2,0,0,1,70,2,3,7,1
E06000037,West Berkshire,5,2024,-1.310299875,51.454457625,0,0,0,0,0,70,2,3,7,1
E06000037,West Berkshire,6,2019,-1.3245896153846153,51.39451553846154,3,3,0,0,3,30,1,3,1,1
E06000037,West Berkshire,6,2020,-1.3245896153846153,51.39451553846154,2,2,0,1,1,30,1,3,1,1
E06000037,West Berkshire,6,2021,-1.3245896153846153,51.39451553846154,0,0,0,0,0,30,1,3,1,1
E06000037,West Berkshire,6,2022,-1.3245896153846153,51.39451553846154,4,4,0,1,3,30,1,3,1,1
E06000037,West Berkshire,6,2023,-1.3245896153846153,51.39451553846154,4,5,0,1,3,30,1,3,1,1
E06000037,West Berkshire,6,2024,-1.3245896153846153,51.39451553846154,0,0,0,0,0,30,1,3,1,1
E06000037,West Berkshire,7,2019,-1.0657055,51.43940391666666,3,4,0,0,3,40,2,1,1,1
E06000037,West Berkshire,7,2020,-1.0657055,51.43940391666666,0,0,0,0,0,40,2,1,1,1
E06000037,West Berkshire,7,2021,-1.0657055,51.43940391666666,3,5,0,0,3,40,2,1,1,1
E06000037,West Berkshire,7,2022,-1.0657055,51.43940391666666,4,5,0,0,4,40,2,1,1,1
E06000037,West Berkshire,7,2023,-1.0657055,51.43940391666666,2,2,0,0,2,40,2,1,1,1
E06000037,West Berkshire,7,2024,-1.0657055,51.43940391666666,0,0,0,0,0,40,2,1,1,1
E06000037,West Berkshire,8,2019,-1.129182666666667,51.40722522222222,3,4,0,0,3,50,2,3,6,0
E06000037,West Berkshire,8,2020,-1.129182666666667,51.40722522222222,2,3,0,0,2,50,2,3,6,0
E06000037,West Berkshire,8,2021,-1.129182666666667,51.40722522222222,0,0,0,0,0,50,2,3,6,0
E06000037,West Berkshire,8,2022,-1.129182666666667,51.40722522222222,2,3,0,1,1,50,2,3,6,0
E06000037,West Berkshire,8,2023,-1.129182666666667,51.40722522222222,2,2,0,0,2,50,2,3,6,0
E06000037,West Berkshire,8,2024,-1.129182666666667,51.40722522222222,0,0,0,0,0,50,2,3,6,0
E06000037,West Berkshire,9,2019,-1.2286825,51.4151795,1,2,0,0,1,60,2,6,6,0
E06000037,West Berkshire,9,2020,-1.2286825,51.4151795,0,0,0,0,0,60,2,6,6,0
E06000037,West Berkshire,9,2021,-1.2286825,51.4151795,1,1,0,0,1,60,2,6,6,0
E06000037,West Berkshire,9,2022,-1.2286825,51.4151795,0,0,0,0,0,60,2,6,6,0
E06000037,West Berkshire,9,2023,-1.2286825,51.4151795,0,0,0,0,0,60,2,6,6,0
E06000037,West Berkshire,9,2024,-1.2286825,51.4151795,0,0,0,0,0,60,2,6,6,0
E06000037,West Berkshire,10,2019,-1.2469606666666666,51.388525333333334,1,2,0,0,1,40,2,6,6,0
E06000037,West Berkshire,10,2020,-1.2469606666666666,51.388525333333334,0,0,0,0,0,40,2,6,6,0
E06000037,West Berkshire,10,2021,-1.2469606666666666,51.388525333333334,2,5,0,0,2,40,2,6,6,0
E06000037,West Berkshire,10,2022,-1.2469606666666666,51.388525333333334,0,0,0,0,0,40,2,6,6,0
E06000037,West Berkshire,10,2023,-1.2469606666666666,51.388525333333334,0,0,0,0,0,40,2,6,6,0
E06000037,West Berkshire,10,2024,-1.2469606666666666,51.388525333333334,0,0,0,0,0,40,2,6,6,0
E06000037,West Berkshire,11,2019,-1.2805784,51.4044991,2,2,1,1,0,30,1,3,6,3
E06000037,West Berkshire,11,2020,-1.2805784,51.4044991,0,0,0,0,0,30,1,3,6,3
E06000037,West Berkshire,11,2021,-1.2805784,51.4044991,3,3,0,0,3,30,1,3,6,3
E06000037,West Berkshire,11,2022,-1.2805784,51.4044991,2,2,0,0,2,30,1,3,6,3
E06000037,West Berkshire,11,2023,-1.2805784,51.4044991,3,4,0,1,2,30,1,3,6,3
E06000037,West Berkshire,11,2024,-1.2805784,51.4044991,0,0,0,0,0,30,1,3,6,3
E06000037,West Berkshire,12,2019,-1.3066746666666669,51.46665166666667,1,1,0,0,1,70,2,3,3,0
E06000037,West Berkshire,12,2020,-1.3066746666666669,51.46665166666667,0,0,0,0,0,70,2,3,3,0
E06000037,West Berkshire,12,2021,-1.3066746666666669,51.46665166666667,1,2,0,0,1,70,2,3,3,0
E06000037,West Berkshire,12,2022,-1.3066746666666669,51.46665166666667,1,2,0,1,0,70,2,3,3,0
E06000037,West Berkshire,12,2023,-1.3066746666666669,51.46665166666667,0,0,0,0,0,70,2,3,3,0
E06000037,West Berkshire,12,2024,-1.3066746666666669,51.46665166666667,0,0,0,0,0,70,2,3,3,0
E06000037,West Berkshire,13,2019,-1.314158,51.39924425,3,4,0,0,3,30,1,4,6,6
E06000037,West Berkshire,13,2020,-1.314158,51.39924425,0,0,0,0,0,30,1,4,6,6
E06000037,West Berkshire,13,2021,-1.314158,51.39924425,1,1,0,0,1,30,1,4,6,6
