la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000040,West Lothian,1,2019,-3.6273406666666665,55.975424333333336,1,1,0,0,1,30,1,3,6,0
S12000040,West Lothian,1,2020,-3.6273406666666665,55.975424333333336,0,0,0,0,0,30,1,3,6,0
S12000040,West Lothian,1,2021,-3.6273406666666665,55.975424333333336,0,0,0,0,0,30,1,3,6,0
S12000040,West Lothian,1,2022,-3.6273406666666665,55.975424333333336,1,1,1,0,0,30,1,3,6,0
S12000040,West Lothian,1,2023,-3.6273406666666665,55.975424333333336,1,1,0,1,0,30,1,3,6,0
S12000040,West Lothian,1,2024,-3.6273406666666665,55.975424333333336,0,0,0,0,0,30,1,3,6,0
S12000040,West Lothian,2,2019,-3.619943,55.8563595,1,1,0,0,1,60,2,4,6,0
S12000040,West Lothian,2,2020,-3.619943,55.8563595,0,0,0,0,0,60,2,4,6,0
S12000040,West Lothian,2,2021,-3.619943,55.8563595,0,0,0,0,0,60,2,4,6,0
S12000040,West Lothian,2,2022,-3.619943,55.8563595,1,1,0,0,1,60,2,4,6,0
S12000040,West Lothian,2,2023,-3.619943,55.8563595,0,0,0,0,0,60,2,4,6,0
S12000040,West Lothian,2,2024,-3.619943,55.8563595,0,0,0,0,0,60,2,4,6,0
S12000040,West Lothian,3,2019,-3.647282,55.920496,1,6,1,0,0,50,2,4,6,0
S12000040,West Lothian,3,2020,-3.647282,55.920496,0,0,0,0,0,50,2,4,6,0
S12000040,West Lothian,3,2021,-3.647282,55.920496,0,0,0,0,0,50,2,4,6,0
S12000040,West Lothian,3,2022,-3.647282,55.920496,0,0,0,0,0,50,2,4,6,0
S12000040,West Lothian,3,2023,-3.647282,55.920496,0,0,0,0,0,50,2,4,6,0
S12000040,West Lothian,3,2024,-3.647282,55.920496,0,0,0,0,0,50,2,4,6,0
S12000040,West Lothian,4,2019,-3.7015555,55.89323425,2,2,0,1,1,30,1,4,6,0
S12000040,West Lothian,4,2020,-3.7015555,55.89323425,0,0,0,0,0,30,1,4,6,0
S12000040,West Lothian,4,2021,-3.7015555,55.89323425,1,1,0,0,1,30,1,4,6,0
S12000040,West Lothian,4,2022,-3.7015555,55.89323425,1,1,0,0,1,30,1,4,6,0
S12000040,West Lothian,4,2023,-3.7015555,55.89323425,0,0,0,0,0,30,1,4,6,0
S12000040,West Lothian,4,2024,-3.7015555,55.89323425,0,0,0,0,0,30,1,4,6,0
S12000040,West Lothian,5,2019,-3.503962,55.812549,1,1,0,0,1,60,2,3,6,0
S12000040,West Lothian,5,2020,-3.503962,55.812549,0,0,0,0,0,60,2,3,6,0
S12000040,West Lothian,5,2021,-3.503962,55.812549,0,0,0,0,0,60,2,3,6,0
S12000040,West Lothian,5,2022,-3.503962,55.812549,0,0,0,0,0,60,2,3,6,0
S12000040,West Lothian,5,2023,-3.503962,55.812549,0,0,0,0,0,60,2,3,6,0
S12000040,West Lothian,5,2024,-3.503962,55.812549,0,0,0,0,0,60,2,3,6,0
S12000040,West Lothian,6,2019,-3.5185026,55.9084058,2,2,0,0,2,50,1,3,3,0
S12000040,West Lothian,6,2020,-3.5185026,55.9084058,1,1,0,0,1,50,1,3,3,0
S12000040,West Lothian,6,2021,-3.5185026,55.9084058,1,1,0,0,1,50,1,3,3,0
S12000040,West Lothian,6,2022,-3.5185026,55.9084058,0,0,0,0,0,50,1,3,3,0
S12000040,West Lothian,6,2023,-3.5185026,55.9084058,1,1,0,1,0,50,1,3,3,0
S12000040,West Lothian,6,2024,-3.5185026,55.9084058,0,0,0,0,0,50,1,3,3,0
