la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000047,Fife,1,2019,-3.135362,56.202729,2,2,0,1,1,20,1,4,6,3
S12000047,Fife,1,2020,-3.135362,56.202729,1,1,0,0,1,20,1,4,6,3
S12000047,Fife,1,2021,-3.135362,56.202729,1,1,0,0,1,20,1,4,6,3
S12000047,Fife,1,2022,-3.135362,56.202729,0,0,0,0,0,20,1,4,6,3
S12000047,Fife,1,2023,-3.135362,56.202729,1,1,0,0,1,20,1,4,6,3
S12000047,Fife,1,2024,-3.135362,56.202729,0,0,0,0,0,20,1,4,6,3
S12000047,Fife,2,2019,-3.2623846666666667,56.1459,2,2,1,1,0,30,1,4,6,3
S12000047,Fife,2,2020,-3.2623846666666667,56.1459,1,1,0,1,0,30,1,4,6,3
S12000047,Fife,2,2021,-3.2623846666666667,56.1459,0,0,0,0,0,30,1,4,6,3
S12000047,Fife,2,2022,-3.2623846666666667,56.1459,0,0,0,0,0,30,1,4,6,3
S12000047,Fife,2,2023,-3.2623846666666667,56.1459,0,0,0,0,0,30,1,4,6,3
S12000047,Fife,2,2024,-3.2623846666666667,56.1459,0,0,0,0,0,30,1,4,6,3
S12000047,Fife,3,2019,-3.1900618333333335,56.205138833333336,3,4,1,1,1,40,1,3,6,1
S12000047,Fife,3,2020,-3.1900618333333335,56.205138833333336,1,1,0,1,0,40,1,3,6,1
S12000047,Fife,3,2021,-3.1900618333333335,56.205138833333336,0,0,0,0,0,40,1,3,6,1
S12000047,Fife,3,2022,-3.1900618333333335,56.205138833333336,1,1,0,0,1,40,1,3,6,1
S12000047,Fife,3,2023,-3.1900618333333335,56.205138833333336,1,1,0,0,1,40,1,3,6,1
S12000047,Fife,3,2024,-3.1900618333333335,56.205138833333336,0,0,0,0,0,40,1,3,6,1
S12000047,Fife,4,2019,-3.13150825,56.28441175,3,9,0,1,2,60,2,3,6,0
S12000047,Fife,4,2020,-3.13150825,56.28441175,0,0,0,0,0,60,2,3,6,0
S12000047,Fife,4,2021,-3.13150825,56.28441175,1,4,0,0,1,60,2,3,6,0
S12000047,Fife,4,2022,-3.13150825,56.28441175,0,0,0,0,0,60,2,3,6,0
S12000047,Fife,4,2023,-3.13150825,56.28441175,0,0,0,0,0,60,2,3,6,0
S12000047,Fife,4,2024,-3.13150825,56.28441175,0,0,0,0,0,60,2,3,6,0
S12000047,Fife,5,2019,-3.428267,56.0367196,2,2,0,0,2,30,1,3,6,0
S12000047,Fife,5,2020,-3.428267,56.0367196,1,1,0,0,1,30,1,3,6,0
S12000047,Fife,5,2021,-3.428267,56.0367196,0,0,0,0,0,30,1,3,6,0
S12000047,Fife,5,2022,-3.428267,56.0367196,1,1,0,1,0,30,1,3,6,0
S12000047,Fife,5,2023,-3.428267,56.0367196,1,4,0,0,1,30,1,3,6,0
S12000047,Fife,5,2024,-3.428267,56.0367196,0,0,0,0,0,30,1,3,6,0
S12000047,Fife,6,2019,-3.443527,56.056472,1,1,0,1,0,30,1,3,6,3
S12000047,Fife,6,2020,-3.443527,56.056472,0,0,0,0,0,30,1,3,6,3
S12000047,Fife,6,2021,-3.443527,56.056472,0,0,0,0,0,30,1,3,6,3
S12000047,Fife,6,2022,-3.443527,56.056472,1,1,0,0,1,30,1,3,6,3
S12000047,Fife,6,2023,-3.443527,56.056472,0,0,0,0,0,30,1,3,6,3
S12000047,Fife,6,2024,-3.443527,56.056472,0,0,0,0,0,30,1,3,6,3
S12000047,Fife,7,2019,-3.17151925,56.192024,2,2,0,0,2,30,1,6,6,0
S12000047,Fife,7,2020,-3.17151925,56.192024,1,1,0,0,1,30,1,6,6,0
S12000047,Fife,7,2021,-3.17151925,56.192024,0,0,0,0,0,30,1,6,6,0
