la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
W06000008,Ceredigion,1,2019,-3.9941075,52.473380500000005,1,1,0,0,1,60,2,3,6,0
W06000008,Ceredigion,1,2020,-3.9941075,52.473380500000005,0,0,0,0,0,60,2,3,6,0
W06000008,Ceredigion,1,2021,-3.9941075,52.473380500000005,0,0,0,0,0,60,2,3,6,0
W06000008,Ceredigion,1,2022,-3.9941075,52.473380500000005,0,0,0,0,0,60,2,3,6,0
W06000008,Ceredigion,1,2023,-3.9941075,52.473380500000005,1,1,0,1,0,60,2,3,6,0
W06000008,Ceredigion,1,2024,-3.9941075,52.473380500000005,0,0,0,0,0,60,2,3,6,0
W06000008,Ceredigion,2,2019,-4.629633500000001,52.076608,1,2,0,0,1,60,2,3,6,6
W06000008,Ceredigion,2,2020,-4.629633500000001,52.076608,0,0,0,0,0,60,2,3,6,6
W06000008,Ceredigion,2,2021,-4.629633500000001,52.076608,1,1,0,0,1,60,2,3,6,6
W06000008,Ceredigion,2,2022,-4.629633500000001,52.076608,0,0,0,0,0,60,2,3,6,6
W06000008,Ceredigion,2,2023,-4.629633500000001,52.076608,0,0,0,0,0,60,2,3,6,6
W06000008,Ceredigion,2,2024,-4.629633500000001,52.076608,0,0,0,0,0,60,2,3,6,6
W06000008,Ceredigion,3,2019,-3.88148,52.4144075,2,2,0,0,2,60,2,3,6,0
W06000008,Ceredigion,3,2020,-3.88148,52.4144075,1,1,0,1,0,60,2,3,6,0
W06000008,Ceredigion,3,2021,-3.88148,52.4144075,0,0,0,0,0,60,2,3,6,0
W06000008,Ceredigion,3,2022,-3.88148,52.4144075,0,0,0,0,0,60,2,3,6,0
W06000008,Ceredigion,3,2023,-3.88148,52.4144075,1,3,0,1,0,60,2,3,6,0
W06000008,Ceredigion,3,2024,-3.88148,52.4144075,0,0,0,0,0,60,2,3,6,0
W06000008,Ceredigion,4,2019,-4.406644,52.046757,1,3,0,0,1,60,2,3,6,6
W06000008,Ceredigion,4,2020,-4.406644,52.046757,0,0,0,0,0,60,2,3,6,6
W06000008,Ceredigion,4,2021,-4.406644,52.046757,0,0,0,0,0,60,2,3,6,6
W06000008,Ceredigion,4,2022,-4.406644,52.046757,0,0,0,0,0,60,2,3,6,6
W06000008,Ceredigion,4,2023,-4.406644,52.046757,0,0,0,0,0,60,2,3,6,6
W06000008,Ceredigion,4,2024,-4.406644,52.046757,0,0,0,0,0,60,2,3,6,6
W06000008,Ceredigion,5,2019,-4.176778,52.253192,1,2,0,0,1,60,2,4,6,3
W06000008,Ceredigion,5,2020,-4.176778,52.253192,0,0,0,0,0,60,2,4,6,3
W06000008,Ceredigion,5,2021,-4.176778,52.253192,0,0,0,0,0,60,2,4,6,3
W06000008,Ceredigion,5,2022,-4.176778,52.253192,0,0,0,0,0,60,2,4,6,3
W06000008,Ceredigion,5,2023,-4.176778,52.253192,0,0,0,0,0,60,2,4,6,3
W06000008,Ceredigion,5,2024,-4.176778,52.253192,0,0,0,0,0,60,2,4,6,3
W06000008,Ceredigion,6,2019,-4.5869374999999994,52.1071185,1,2,0,0,1,60,2,3,6,0
W06000008,Ceredigion,6,2020,-4.5869374999999994,52.1071185,1,1,0,1,0,60,2,3,6,0
W06000008,Ceredigion,6,2021,-4.5869374999999994,52.1071185,1,1,0,0,1,60,2,3,6,0
W06000008,Ceredigion,6,2022,-4.5869374999999994,52.1071185,0,0,0,0,0,60,2,3,6,0
W06000008,Ceredigion,6,2023,-4.5869374999999994,52.1071185,1,1,0,1,0,60,2,3,6,0
W06000008,Ceredigion,6,2024,-4.5869374999999994,52.1071185,0,0,0,0,0,60,2,3,6,0
W06000008,Ceredigion,7,2019,-4.659118111111111,52.08404866666667,1,1,0,0,1,20,2,6,6,0
W06000008,Ceredigion,7,2020,-4.659118111111111,52.08404866666667,1,1,0,0,1,20,2,6,6,0
W06000008,Ceredigion,7,2021,-4.659118111111111,52.08404866666667,0,0,0,0,0,20,2,6,6,0
W06000008,Ceredigion,7,2022,-4.659118111111111,52.08404866666667,2,2,0,1,1,20,2,6,6,0
W06000008,Ceredigion,7,2023,-4.659118111111111,52.08404866666667,4,4,0,1,3,20,2,6,6,0
W06000008,Ceredigion,7,2024,-4.659118111111111,52.08404866666667,1,1,0,0,0,20,2,6,6,0
W06000008,Ceredigion,8,2019,-3.90376525,52.411576,2,3,0,1,1,60,2,3,6,0
W06000008,Ceredigion,8,2020,-3.90376525,52.411576,0,0,0,0,0,60,2,3,6,0
W06000008,Ceredigion,8,2021,-3.90376525,52.411576,0,0,0,0,0,60,2,3,6,0
W06000008,Ceredigion,8,2022,-3.90376525,52.411576,1,5,0,1,0,60,2,3,6,0
W06000008,Ceredigion,8,2023,-3.90376525,52.411576,0,0,0,0,0,60,2,3,6,0
W06000008,Ceredigion,8,2024,-3.90376525,52.411576,1,6,0,0,0,60,2,3,6,0
W06000008,Ceredigion,9,2019,-4.047790333333333,52.404554,2,2,0,0,2,40,2,3,6,8
W06000008,Ceredigion,9,2020,-4.047790333333333,52.404554,1,1,0,1,0,40,2,3,6,8
W06000008,Ceredigion,9,2021,-4.047790333333333,52.404554,0,0,0,0,0,40,2,3,6,8
W06000008,Ceredigion,9,2022,-4.047790333333333,52.404554,0,0,0,0,0,40,2,3,6,8
W06000008,Ceredigion,9,2023,-4.047790333333333,52.404554,0,0,0,0,0,40,2,3,6,8
W06000008,Ceredigion,9,2024,-4.047790333333333,52.404554,0,0,0,0,0,40,2,3,6,8
W06000008,Ceredigion,10,2019,-4.074796,52.41582727272727,3,3,0,2,1,30,1,3,6,3
W06000008,Ceredigion,10,2020,-4.074796,52.41582727272727,0,0,0,0,0,30,1,3,6,3
W06000008,Ceredigion,10,2021,-4.074796,52.41582727272727,1,2,0,0,1,30,1,3,6,3
W06000008,Ceredigion,10,2022,-4.074796,52.41582727272727,2,2,0,0,2,30,1,3,6,3
W06000008,Ceredigion,10,2023,-4.074796,52.41582727272727,2,3,0,0,2,30,1,3,6,3
W06000008,Ceredigion,10,2024,-4.074796,52.41582727272727,1,1,0,0,0,30,1,3,6,3
W06000008,Ceredigion,10,2025,-4.074796,52.41582727272727,2,2,0,0,0,30,1,3,6,3
W06000008,Ceredigion,11,2019,-4.422005,52.082682,1,1,0,0,1,60,2,4,6,0
W06000008,Ceredigion,11,2020,-4.422005,52.082682,0,0,0,0,0,60,2,4,6,0
W06000008,Ceredigion,11,2021,-4.422005,52.082682,0,0,0,0,0,60,2,4,6,0
W06000008,Ceredigion,11,2022,-4.422005,52.082682,0,0,0,0,0,60,2,4,6,0
