la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000006,Dumfries and Galloway,1,2019,-4.922096,54.884768,1,1,0,1,0,60,2,3,6,0
S12000006,Dumfries and Galloway,1,2020,-4.922096,54.884768,0,0,0,0,0,60,2,3,6,0
S12000006,Dumfries and Galloway,1,2021,-4.922096,54.884768,0,0,0,0,0,60,2,3,6,0
S12000006,Dumfries and Galloway,1,2022,-4.922096,54.884768,0,0,0,0,0,60,2,3,6,0
S12000006,Dumfries and Galloway,1,2023,-4.922096,54.884768,0,0,0,0,0,60,2,3,6,0
S12000006,Dumfries and Galloway,1,2024,-4.922096,54.884768,0,0,0,0,0,60,2,3,6,0
S12000006,Dumfries and Galloway,2,2019,-3.694088,55.1139255,1,2,0,0,1,60,2,4,6,6
S12000006,Dumfries and Galloway,2,2020,-3.694088,55.1139255,0,0,0,0,0,60,2,4,6,6
S12000006,Dumfries and Galloway,2,2021,-3.694088,55.1139255,1,1,0,0,1,60,2,4,6,6
S12000006,Dumfries and Galloway,2,2022,-3.694088,55.1139255,0,0,0,0,0,60,2,4,6,6
S12000006,Dumfries and Galloway,2,2023,-3.694088,55.1139255,0,0,0,0,0,60,2,4,6,6
S12000006,Dumfries and Galloway,2,2024,-3.694088,55.1139255,0,0,0,0,0,60,2,4,6,6
S12000006,Dumfries and Galloway,3,2019,-3.455156,55.313418666666664,1,1,0,0,1,70,2,2,3,0
S12000006,Dumfries and Galloway,3,2020,-3.455156,55.313418666666664,0,0,0,0,0,70,2,2,3,0
S12000006,Dumfries and Galloway,3,2021,-3.455156,55.313418666666664,0,0,0,0,0,70,2,2,3,0
S12000006,Dumfries and Galloway,3,2022,-3.455156,55.313418666666664,2,4,0,1,1,70,2,2,3,0
S12000006,Dumfries and Galloway,3,2023,-3.455156,55.313418666666664,0,0,0,0,0,70,2,2,3,0
S12000006,Dumfries and Galloway,3,2024,-3.455156,55.313418666666664,0,0,0,0,0,70,2,2,3,0
S12000006,Dumfries and Galloway,4,2019,-3.3973875,55.244241,1,1,0,1,0,60,2,6,6,0
S12000006,Dumfries and Galloway,4,2020,-3.3973875,55.244241,0,0,0,0,0,60,2,6,6,0
S12000006,Dumfries and Galloway,4,2021,-3.3973875,55.244241,0,0,0,0,0,60,2,6,6,0
S12000006,Dumfries and Galloway,4,2022,-3.3973875,55.244241,0,0,0,0,0,60,2,6,6,0
S12000006,Dumfries and Galloway,4,2023,-3.3973875,55.244241,1,1,1,0,0,60,2,6,6,0
S12000006,Dumfries and Galloway,4,2024,-3.3973875,55.244241,0,0,0,0,0,60,2,6,6,0
S12000006,Dumfries and Galloway,5,2019,-3.200013,54.983871,1,5,0,1,0,30,2,4,6,0
S12000006,Dumfries and Galloway,5,2020,-3.200013,54.983871,0,0,0,0,0,30,2,4,6,0
S12000006,Dumfries and Galloway,5,2021,-3.200013,54.983871,0,0,0,0,0,30,2,4,6,0
S12000006,Dumfries and Galloway,5,2022,-3.200013,54.983871,0,0,0,0,0,30,2,4,6,0
S12000006,Dumfries and Galloway,5,2023,-3.200013,54.983871,0,0,0,0,0,30,2,4,6,0
S12000006,Dumfries and Galloway,5,2024,-3.200013,54.983871,0,0,0,0,0,30,2,4,6,0
S12000006,Dumfries and Galloway,6,2019,-3.274556666666667,55.064329666666666,1,1,0,1,0,70,2,4,3,0
S12000006,Dumfries and Galloway,6,2020,-3.274556666666667,55.064329666666666,0,0,0,0,0,70,2,4,3,0
S12000006,Dumfries and Galloway,6,2021,-3.274556666666667,55.064329666666666,0,0,0,0,0,70,2,4,3,0
S12000006,Dumfries and Galloway,6,2022,-3.274556666666667,55.064329666666666,1,1,0,0,1,70,2,4,3,0
S12000006,Dumfries and Galloway,6,2023,-3.274556666666667,55.064329666666666,1,2,0,1,0,70,2,4,3,0
S12000006,Dumfries and Galloway,6,2024,-3.274556666666667,55.064329666666666,0,0,0,0,0,70,2,4,3,0
S12000006,Dumfries and Galloway,7,2019,-4.066974,54.855685,1,1,0,1,0,60,2,6,6,0
S12000006,Dumfries and Galloway,7,2020,-4.066974,54.855685,0,0,0,0,0,60,2,6,6,0
S12000006,Dumfries and Galloway,7,2021,-4.066974,54.855685,0,0,0,0,0,60,2,6,6,0
S12000006,Dumfries and Galloway,7,2022,-4.066974,54.855685,0,0,0,0,0,60,2,6,6,0
S12000006,Dumfries and Galloway,7,2023,-4.066974,54.855685,0,0,0,0,0,60,2,6,6,0
S12000006,Dumfries and Galloway,7,2024,-4.066974,54.855685,0,0,0,0,0,60,2,6,6,0
S12000006,Dumfries and Galloway,8,2019,-4.4189038,54.941991,4,6,1,1,2,60,2,3,6,0
S12000006,Dumfries and Galloway,8,2020,-4.4189038,54.941991,0,0,0,0,0,60,2,3,6,0
S12000006,Dumfries and Galloway,8,2021,-4.4189038,54.941991,0,0,0,0,0,60,2,3,6,0
S12000006,Dumfries and Galloway,8,2022,-4.4189038,54.941991,1,1,0,1,0,60,2,3,6,0
S12000006,Dumfries and Galloway,8,2023,-4.4189038,54.941991,0,0,0,0,0,60,2,3,6,0
