la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000033,Aberdeen City,1,2019,-2.202745,57.115975,1,2,0,0,1,30,1,6,6,3
S12000033,Aberdeen City,1,2020,-2.202745,57.115975,0,0,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,1,2021,-2.202745,57.115975,0,0,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,1,2022,-2.202745,57.115975,0,0,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,1,2023,-2.202745,57.115975,0,0,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,1,2024,-2.202745,57.115975,0,0,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,2,2019,-2.100848,57.14191775,3,3,0,2,1,30,1,6,6,0
S12000033,Aberdeen City,2,2020,-2.100848,57.14191775,1,1,0,0,1,30,1,6,6,0
S12000033,Aberdeen City,2,2021,-2.100848,57.14191775,0,0,0,0,0,30,1,6,6,0
S12000033,Aberdeen City,2,2022,-2.100848,57.14191775,0,0,0,0,0,30,1,6,6,0
S12000033,Aberdeen City,2,2023,-2.100848,57.14191775,0,0,0,0,0,30,1,6,6,0
S12000033,Aberdeen City,2,2024,-2.100848,57.14191775,0,0,0,0,0,30,1,6,6,0
S12000033,Aberdeen City,3,2019,-2.079367,57.1569615,1,1,0,1,0,20,1,6,6,0
S12000033,Aberdeen City,3,2020,-2.079367,57.1569615,1,2,0,1,0,20,1,6,6,0
S12000033,Aberdeen City,3,2021,-2.079367,57.1569615,0,0,0,0,0,20,1,6,6,0
S12000033,Aberdeen City,3,2022,-2.079367,57.1569615,0,0,0,0,0,20,1,6,6,0
S12000033,Aberdeen City,3,2023,-2.079367,57.1569615,1,1,0,1,0,20,1,6,6,0
S12000033,Aberdeen City,3,2024,-2.079367,57.1569615,1,1,0,0,0,20,1,6,6,0
S12000033,Aberdeen City,4,2019,-2.133105,57.13396342857143,3,4,0,1,2,40,1,3,6,3
S12000033,Aberdeen City,4,2020,-2.133105,57.13396342857143,0,0,0,0,0,40,1,3,6,3
S12000033,Aberdeen City,4,2021,-2.133105,57.13396342857143,0,0,0,0,0,40,1,3,6,3
S12000033,Aberdeen City,4,2022,-2.133105,57.13396342857143,2,2,0,1,1,40,1,3,6,3
S12000033,Aberdeen City,4,2023,-2.133105,57.13396342857143,1,1,0,0,1,40,1,3,6,3
S12000033,Aberdeen City,4,2024,-2.133105,57.13396342857143,1,1,0,0,0,40,1,3,6,3
S12000033,Aberdeen City,5,2019,-2.086459,57.1167232,1,1,0,0,1,30,1,6,1,1
S12000033,Aberdeen City,5,2020,-2.086459,57.1167232,0,0,0,0,0,30,1,6,1,1
S12000033,Aberdeen City,5,2021,-2.086459,57.1167232,0,0,0,0,0,30,1,6,1,1
S12000033,Aberdeen City,5,2022,-2.086459,57.1167232,1,1,0,0,1,30,1,6,1,1
S12000033,Aberdeen City,5,2023,-2.086459,57.1167232,0,0,0,0,0,30,1,6,1,1
S12000033,Aberdeen City,5,2024,-2.086459,57.1167232,3,4,0,0,0,30,1,6,1,1
S12000033,Aberdeen City,6,2019,-2.118068666666667,57.167642,2,2,0,0,2,30,1,6,6,0
S12000033,Aberdeen City,6,2020,-2.118068666666667,57.167642,1,1,0,0,1,30,1,6,6,0
S12000033,Aberdeen City,6,2021,-2.118068666666667,57.167642,0,0,0,0,0,30,1,6,6,0
S12000033,Aberdeen City,6,2022,-2.118068666666667,57.167642,0,0,0,0,0,30,1,6,6,0
S12000033,Aberdeen City,6,2023,-2.118068666666667,57.167642,2,2,0,1,1,30,1,6,6,0
S12000033,Aberdeen City,6,2024,-2.118068666666667,57.167642,1,1,0,0,0,30,1,6,6,0
S12000033,Aberdeen City,7,2019,-2.110853,57.187595,1,1,0,1,0,50,1,3,6,0
S12000033,Aberdeen City,7,2020,-2.110853,57.187595,0,0,0,0,0,50,1,3,6,0
S12000033,Aberdeen City,7,2021,-2.110853,57.187595,0,0,0,0,0,50,1,3,6,0
S12000033,Aberdeen City,7,2022,-2.110853,57.187595,0,0,0,0,0,50,1,3,6,0
S12000033,Aberdeen City,7,2023,-2.110853,57.187595,0,0,0,0,0,50,1,3,6,0
S12000033,Aberdeen City,7,2024,-2.110853,57.187595,0,0,0,0,0,50,1,3,6,0
S12000033,Aberdeen City,8,2019,-2.186425,57.21516,2,2,0,1,1,30,1,6,6,3
S12000033,Aberdeen City,8,2020,-2.186425,57.21516,0,0,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,8,2021,-2.186425,57.21516,0,0,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,8,2022,-2.186425,57.21516,0,0,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,8,2023,-2.186425,57.21516,0,0,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,8,2024,-2.186425,57.21516,0,0,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,9,2019,-2.0938458888888887,57.14991633333334,2,3,0,1,1,30,1,3,3,0
S12000033,Aberdeen City,9,2020,-2.0938458888888887,57.14991633333334,1,1,0,1,0,30,1,3,3,0
S12000033,Aberdeen City,9,2021,-2.0938458888888887,57.14991633333334,1,1,0,0,1,30,1,3,3,0
S12000033,Aberdeen City,9,2022,-2.0938458888888887,57.14991633333334,2,4,0,1,1,30,1,3,3,0
S12000033,Aberdeen City,9,2023,-2.0938458888888887,57.14991633333334,3,3,0,2,1,30,1,3,3,0
S12000033,Aberdeen City,9,2024,-2.0938458888888887,57.14991633333334,0,0,0,0,0,30,1,3,3,0
S12000033,Aberdeen City,10,2019,-2.083676,57.130727,1,1,0,0,1,30,1,6,6,9
S12000033,Aberdeen City,10,2020,-2.083676,57.130727,0,0,0,0,0,30,1,6,6,9
S12000033,Aberdeen City,10,2021,-2.083676,57.130727,0,0,0,0,0,30,1,6,6,9
S12000033,Aberdeen City,10,2022,-2.083676,57.130727,0,0,0,0,0,30,1,6,6,9
S12000033,Aberdeen City,10,2023,-2.083676,57.130727,0,0,0,0,0,30,1,6,6,9
S12000033,Aberdeen City,10,2024,-2.083676,57.130727,0,0,0,0,0,30,1,6,6,9
S12000033,Aberdeen City,11,2019,-2.2457546666666666,57.10136633333333,1,1,0,1,0,30,1,3,6,0
S12000033,Aberdeen City,11,2020,-2.2457546666666666,57.10136633333333,1,3,0,1,0,30,1,3,6,0
S12000033,Aberdeen City,11,2021,-2.2457546666666666,57.10136633333333,0,0,0,0,0,30,1,3,6,0
S12000033,Aberdeen City,11,2022,-2.2457546666666666,57.10136633333333,0,0,0,0,0,30,1,3,6,0
S12000033,Aberdeen City,11,2023,-2.2457546666666666,57.10136633333333,1,3,0,0,1,30,1,3,6,0
S12000033,Aberdeen City,11,2024,-2.2457546666666666,57.10136633333333,0,0,0,0,0,30,1,3,6,0
S12000033,Aberdeen City,12,2019,-2.211544,57.109709,1,1,0,0,1,30,1,3,6,3
S12000033,Aberdeen City,12,2020,-2.211544,57.109709,0,0,0,0,0,30,1,3,6,3
S12000033,Aberdeen City,12,2021,-2.211544,57.109709,0,0,0,0,0,30,1,3,6,3
S12000033,Aberdeen City,12,2022,-2.211544,57.109709,0,0,0,0,0,30,1,3,6,3
S12000033,Aberdeen City,12,2023,-2.211544,57.109709,0,0,0,0,0,30,1,3,6,3
S12000033,Aberdeen City,12,2024,-2.211544,57.109709,0,0,0,0,0,30,1,3,6,3
S12000033,Aberdeen City,13,2019,-2.1078384999999997,57.135377250000005,2,3,0,1,1,30,1,6,6,3
S12000033,Aberdeen City,13,2020,-2.1078384999999997,57.135377250000005,0,0,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,13,2021,-2.1078384999999997,57.135377250000005,0,0,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,13,2022,-2.1078384999999997,57.135377250000005,0,0,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,13,2023,-2.1078384999999997,57.135377250000005,0,0,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,13,2024,-2.1078384999999997,57.135377250000005,1,1,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,13,2025,-2.1078384999999997,57.135377250000005,1,2,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,14,2019,-2.097405111111111,57.16642977777778,2,2,0,2,0,30,1,3,6,1
S12000033,Aberdeen City,14,2020,-2.097405111111111,57.16642977777778,1,1,0,0,1,30,1,3,6,1
S12000033,Aberdeen City,14,2021,-2.097405111111111,57.16642977777778,0,0,0,0,0,30,1,3,6,1
S12000033,Aberdeen City,14,2022,-2.097405111111111,57.16642977777778,3,3,0,1,2,30,1,3,6,1
S12000033,Aberdeen City,14,2023,-2.097405111111111,57.16642977777778,0,0,0,0,0,30,1,3,6,1
S12000033,Aberdeen City,14,2024,-2.097405111111111,57.16642977777778,2,2,0,0,0,30,1,3,6,1
S12000033,Aberdeen City,14,2025,-2.097405111111111,57.16642977777778,1,1,0,0,0,30,1,3,6,1
S12000033,Aberdeen City,15,2019,-2.253797,57.098347,1,1,0,1,0,30,1,3,6,3
S12000033,Aberdeen City,15,2020,-2.253797,57.098347,0,0,0,0,0,30,1,3,6,3
S12000033,Aberdeen City,15,2021,-2.253797,57.098347,0,0,0,0,0,30,1,3,6,3
S12000033,Aberdeen City,15,2022,-2.253797,57.098347,0,0,0,0,0,30,1,3,6,3
S12000033,Aberdeen City,15,2023,-2.253797,57.098347,0,0,0,0,0,30,1,3,6,3
S12000033,Aberdeen City,15,2024,-2.253797,57.098347,0,0,0,0,0,30,1,3,6,3
S12000033,Aberdeen City,16,2019,-2.106864625,57.127350625,1,1,0,1,0,30,1,6,1,1
S12000033,Aberdeen City,16,2020,-2.106864625,57.127350625,0,0,0,0,0,30,1,6,1,1
S12000033,Aberdeen City,16,2021,-2.106864625,57.127350625,1,1,0,0,1,30,1,6,1,1
S12000033,Aberdeen City,16,2022,-2.106864625,57.127350625,1,1,0,1,0,30,1,6,1,1
S12000033,Aberdeen City,16,2023,-2.106864625,57.127350625,3,3,0,2,1,30,1,6,1,1
S12000033,Aberdeen City,16,2024,-2.106864625,57.127350625,2,6,0,0,0,30,1,6,1,1
S12000033,Aberdeen City,17,2019,-2.10155725,57.120717,1,1,0,1,0,30,1,6,6,3
S12000033,Aberdeen City,17,2020,-2.10155725,57.120717,0,0,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,17,2021,-2.10155725,57.120717,2,2,0,1,1,30,1,6,6,3
S12000033,Aberdeen City,17,2022,-2.10155725,57.120717,0,0,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,17,2023,-2.10155725,57.120717,1,1,0,0,1,30,1,6,6,3
S12000033,Aberdeen City,17,2024,-2.10155725,57.120717,0,0,0,0,0,30,1,6,6,3
S12000033,Aberdeen City,18,2019,-2.119959,57.1501766,1,1,0,0,1,30,1,4,6,6
S12000033,Aberdeen City,18,2020,-2.119959,57.1501766,1,1,0,1,0,30,1,4,6,6
S12000033,Aberdeen City,18,2021,-2.119959,57.1501766,0,0,0,0,0,30,1,4,6,6
S12000033,Aberdeen City,18,2022,-2.119959,57.1501766,1,1,0,0,1,30,1,4,6,6
S12000033,Aberdeen City,18,2023,-2.119959,57.1501766,1,2,0,1,0,30,1,4,6,6
S12000033,Aberdeen City,18,2024,-2.119959,57.1501766,1,1,0,0,0,30,1,4,6,6
S12000033,Aberdeen City,19,2019,-2.1053046363636363,57.146187,4,4,0,1,3,20,1,6,6,6
S12000033,Aberdeen City,19,2020,-2.1053046363636363,57.146187,0,0,0,0,0,20,1,6,6,6
S12000033,Aberdeen City,19,2021,-2.1053046363636363,57.146187,1,2,0,0,1,20,1,6,6,6
S12000033,Aberdeen City,19,2022,-2.1053046363636363,57.146187,1,2,0,1,0,20,1,6,6,6
S12000033,Aberdeen City,19,2023,-2.1053046363636363,57.146187,3,3,0,3,0,20,1,6,6,6
S12000033,Aberdeen City,19,2024,-2.1053046363636363,57.146187,1,1,0,0,0,20,1,6,6,6
